filename: MC3_POPC_KBR_5_s377_sum
Qxy: 0.040A-1
detector: p100k
orientation: vertical; upper-out pixel: [1, 195]; center pixel [v h]: [4.608136e+02, 168]
 signal pixe [v h]: [4.608136e+02 146]
detector distance: 703.000000 mm
summed over +-10 pixels horizontally
pixel	tt	I	e_I	Qz
[a.u.]	[deg]	[a.u.]	[a.u.]	[A^-1]
273	2.631	154	12.41	0.3578
274	2.617	151	12.288	0.35595
275	2.603	148	12.166	0.3541
276	2.589	153	12.369	0.35225
277	2.575	137	11.705	0.3504
278	2.561	124	11.136	0.34854
279	2.547	125	11.18	0.34669
280	2.5331	118	10.863	0.34484
281	2.5191	119	10.909	0.34299
282	2.5051	120	10.954	0.34114
283	2.4911	123	11.091	0.33928
284	2.4771	136	11.662	0.33743
285	2.4631	117	10.817	0.33558
286	2.4491	148	12.166	0.33373
287	2.4351	141	11.874	0.33187
288	2.4211	120	10.954	0.33002
289	2.4071	113	10.63	0.32817
290	2.3931	134	11.576	0.32631
291	2.3791	122	11.045	0.32446
292	2.3651	127	11.269	0.32261
293	2.3511	105	10.247	0.32076
294	2.3371	110	10.488	0.3189
295	2.3232	95	9.7468	0.31705
296	2.3092	103	10.149	0.3152
297	2.2952	103	10.149	0.31334
298	2.2812	102	10.1	0.31149
299	2.2672	111	10.536	0.30964
300	2.2532	104	10.198	0.30778
301	2.2392	92	9.5917	0.30593
302	2.2252	98	9.8995	0.30408
303	2.2112	103	10.149	0.30222
304	2.1972	98	9.8995	0.30037
305	2.1832	104	10.198	0.29852
306	2.1692	107	10.344	0.29666
307	2.1552	76	8.7178	0.29481
308	2.1412	93	9.6437	0.29295
309	2.1272	94	9.6954	0.2911
310	2.1132	98	9.8995	0.28925
311	2.0992	78	8.8318	0.28739
312	2.0852	85	9.2195	0.28554
313	2.0712	86	9.2736	0.28369
314	2.0572	92	9.5917	0.28183
315	2.0432	90	9.4868	0.27998
316	2.0292	84	9.1652	0.27812
317	2.0152	83	9.1104	0.27627
318	2.0012	86	9.2736	0.27441
319	1.9872	80	8.9443	0.27256
320	1.9732	95	9.7468	0.27071
321	1.9592	95	9.7468	0.26885
322	1.9452	95	9.7468	0.267
323	1.9312	114	10.677	0.26514
324	1.9172	89	9.434	0.26329
325	1.9032	100	10	0.26143
326	1.8892	107	10.344	0.25958
327	1.8752	83	9.1104	0.25772
328	1.8612	110	10.488	0.25587
329	1.8472	99	9.9499	0.25401
330	1.8332	115	10.724	0.25216
331	1.8192	101	10.05	0.2503
332	1.8052	115	10.724	0.24845
333	1.7911	123	11.091	0.24659
334	1.7771	101	10.05	0.24474
335	1.7631	105	10.247	0.24288
336	1.7491	119	10.909	0.24103
337	1.7351	129	11.358	0.23917
338	1.7211	114	10.677	0.23732
339	1.7071	132	11.489	0.23546
340	1.6931	132	11.489	0.23361
341	1.6791	140	11.832	0.23175
342	1.6651	135	11.619	0.2299
343	1.6511	128	11.314	0.22804
344	1.6371	143	11.958	0.22619
345	1.6231	150	12.247	0.22433
346	1.6091	149	12.207	0.22248
347	1.5951	142	11.916	0.22062
348	1.5811	175	13.229	0.21877
349	1.567	157	12.53	0.21691
350	1.553	185	13.601	0.21505
351	1.539	159	12.61	0.2132
352	1.525	181	13.454	0.21134
353	1.511	179	13.379	0.20949
354	1.497	176	13.266	0.20763
355	1.483	201	14.177	0.20578
356	1.469	196	14	0.20392
357	1.455	178	13.342	0.20206
358	1.441	187	13.675	0.20021
359	1.427	196	14	0.19835
360	1.413	207	14.387	0.1965
361	1.3989	199	14.107	0.19464
362	1.3849	216	14.697	0.19278
363	1.3709	213	14.595	0.19093
364	1.3569	215	14.663	0.18907
365	1.3429	200	14.142	0.18722
366	1.3289	219	14.799	0.18536
367	1.3149	244	15.62	0.1835
368	1.3009	234	15.297	0.18165
369	1.2869	230	15.166	0.17979
370	1.2728	238	15.427	0.17793
371	1.2588	269	16.401	0.17608
372	1.2448	233	15.264	0.17422
373	1.2308	236	15.362	0.17236
374	1.2168	271	16.462	0.17051
375	1.2028	235	15.33	0.16865
376	1.1888	249	15.78	0.1668
377	1.1748	261	16.155	0.16494
378	1.1607	264	16.248	0.16308
379	1.1467	260	16.125	0.16123
380	1.1327	276	16.613	0.15937
381	1.1187	256	16	0.15751
382	1.1047	304	17.436	0.15566
383	1.0907	276	16.613	0.1538
384	1.0767	287	16.941	0.15194
385	1.0627	272	16.492	0.15009
386	1.0486	303	17.407	0.14823
387	1.0346	258	16.062	0.14637
388	1.0206	306	17.493	0.14452
389	1.0066	258	16.062	0.14266
390	0.99259	268	16.371	0.1408
391	0.97857	287	16.941	0.13894
392	0.96456	307	17.521	0.13709
393	0.95055	330	18.166	0.13523
394	0.93653	312	17.664	0.13337
395	0.92252	306	17.493	0.13152
396	0.9085	292	17.088	0.12966
397	0.89449	311	17.635	0.1278
398	0.88047	284	16.852	0.12595
399	0.86646	327	18.083	0.12409
400	0.85244	321	17.916	0.12223
401	0.83843	300	17.321	0.12037
402	0.82441	283	16.823	0.11852
403	0.8104	299	17.292	0.11666
404	0.79638	311	17.635	0.1148
405	0.78236	285	16.882	0.11295
406	0.76835	321	17.916	0.11109
407	0.75433	312	17.664	0.10923
408	0.74032	294	17.146	0.10737
409	0.7263	328	18.111	0.10552
410	0.71228	322	17.944	0.10366
411	0.69827	303	17.407	0.1018
412	0.68425	300	17.321	0.099946
413	0.67024	310	17.607	0.098088
414	0.65622	329	18.138	0.096231
415	0.6422	315	17.748	0.094374
416	0.62819	318	17.833	0.092516
417	0.61417	302	17.378	0.090659
418	0.60015	304	17.436	0.088802
419	0.58614	344	18.547	0.086944
420	0.57212	316	17.776	0.085087
421	0.5581	310	17.607	0.083229
422	0.54409	327	18.083	0.081372
423	0.53007	326	18.055	0.079514
424	0.51605	307	17.521	0.077657
425	0.50203	302	17.378	0.0758
426	0.48802	316	17.776	0.073942
427	0.474	337	18.358	0.072085
428	0.45998	347	18.628	0.070227
429	0.44596	299	17.292	0.068369
430	0.43195	303	17.407	0.066512
431	0.41793	297	17.234	0.064654
432	0.40391	343	18.52	0.062797
433	0.38989	328	18.111	0.060939
434	0.37588	311	17.635	0.059082
435	0.36186	304	17.436	0.057224
436	0.34784	316	17.776	0.055367
437	0.33382	289	17	0.053509
438	0.31981	293	17.117	0.051651
439	0.30579	327	18.083	0.049794
440	0.29177	290	17.029	0.047936
441	0.27775	306	17.493	0.046078
442	0.26373	315	17.748	0.044221
443	0.24972	340	18.439	0.042363
444	0.2357	316	17.776	0.040506
445	0.22168	322	17.944	0.038648
446	0.20766	331	18.193	0.03679
447	0.19364	319	17.861	0.034933
448	0.17963	337	18.358	0.033075
449	0.16561	321	17.916	0.031217
450	0.15159	325	18.028	0.029359
451	0.13757	321	17.916	0.027502
452	0.12355	394	19.849	0.025644
453	0.10953	377	19.416	0.023786
454	0.095516	485	22.023	0.021929
455	0.081497	869	29.479	0.020071
456	0.067479	746	27.313	0.018213
457	0.053461	494	22.226	0.016356
458	0.039443	308	17.55	0.014498
459	0.025424	152	12.329	0.01264
460	0.011406	89	9.434	0.010783
461	-0.0026123	51	7.1414	0.0089249
462	-0.016631	48	6.9282	0.0070672
463	-0.030649	14	3.7417	0.0052095
464	-0.044667	11	3.3166	0.0033518
465	-0.058686	6	2.4495	0.0014941
466	-0.072704	2	1.4142	-0.00036362
467	-0.086722	3	1.7321	-0.0022213
468	-0.10074	7	2.6458	-0.004079
469	-0.11476	3	1.7321	-0.0059367
470	-0.12878	4	2	-0.0077944
471	-0.1428	3	1.7321	-0.0096521
472	-0.15681	3	1.7321	-0.01151
473	-0.17083	0	0	-0.013367
474	-0.18485	4	2	-0.015225
475	-0.19887	4	2	-0.017083
476	-0.21289	5	2.2361	-0.01894
477	-0.2269	3	1.7321	-0.020798
478	-0.24092	1	1	-0.022656
479	-0.25494	2	1.4142	-0.024513
480	-0.26896	3	1.7321	-0.026371
481	-0.28298	2	1.4142	-0.028229
482	-0.29699	1	1	-0.030086
483	-0.31101	0	0	-0.031944
484	-0.32503	5	2.2361	-0.033802
485	-0.33905	0	0	-0.035659
486	-0.35307	3	1.7321	-0.037517
487	-0.36708	5	2.2361	-0.039374
